,contains_idioms
être en train de,25209
ça marcher,12211
en avoir marre,5339
un coup de main,2509
faire gaffe,2227
jeter un coup de oeil,1489
tenir à le courant,1377
tourner le page,1349
en avoir rien à foutrer,1002
être crever,798
être canon,760
prendre le tête,694
en avoir rien à faire,602
boire un coup,561
coup de foudre,552
aller droit à le but,538
poser un lapin,412
péter un câble,370
se envoyer en le air,336
quelque chose qui cloche,335
partir en fumée,300
jeter le éponge,229
sur un coup de tête,223
tomber dans le panneau,202
tout cracher,173
être mal en point,162
en avoir raître le bol,159
faire un tabac,158
faire le tête,154
blanchir de le argent,148
rendre le âme,145
joindre le deux bout,144
être à le ouest,128
avoir le chair de poule,126
avoir le gueule de bois,115
être un poule mouiller,98
en avoir ras-le-bol,96
tomber dans le pomme,91
avoir un autre chat à fouetter,91
avoir le dalle,88
avoir le cafard,85
avoir le pêche,82
en avoir rien à cirer,79
ce ne être pas son oignon,76
se faire larguer,75
pas son tasse de thé,74
pleuvoir un corde,72
ne y voir que du feu,69
faire le sourd oreille,63
se serrer le ceinture,56
prendre son jambe à son cou,54
il ne y avoir pas un chat,54
revenir à son mouton,54
tourner à le vinaigre,54
être dans le lune,53
le doigt dans le nez,53
faire le gras matinée,52
avoir un peur bleu de,52
rouler sur le or,52
chercher le petit bête,49
un bouchée de pain,47
jeter le argent par le fenêtre,47
être sur son 31,44
raconter un salade,44
prendre son courage à deux main,44
avoir le flemme,43
avoir le œil plus gros que le ventre,42
appeler un chat un chat,41
crever le dalle,41
avoir le cœur sur le main,38
avoir de le pain sur le planche,38
se vendre comme un petit pain,35
filer à le anglais,35
se jeter dans le gueule de le loup,31
se en mettre plein le poche,30
"il faire un froid de canard,un froid de canard",29
"avoir un coup de foudre,coup de foudre",29
mettre son grain de sel,28
quand le poule avoir un dent,27
pipi de chat,26
passer le arme à gauche,26
donner son langue à le chat,24
être le dindon de le farce,23
être sage comme un image,22
être à le taquet,22
se occuper de son oignon,21
être bien dans son peau,21
en prendre de le graine,20
coûter le œil de le tête,19
faire le pont,19
pleurer comme un madeleine,19
avoir un chat dans le gorge,18
le habit ne faire pas le moine,18
avoir deux main gauche,18
boire comme un trou,17
le goutte de eau qui faire déborder le vase,16
il falloir souffrir pour être beau,16
faire le andouille,16
le carotte être cuire,16
se mettre sur son 31,13
avoir le patate,12
à quelque chose malheur être bon,12
avoir le banane,12
battre le fer tant que il être chaud,11
"ce être le fin de le haricot,le fin de le haricot",11
en faire tout un fromage,10
ah le vache,10
faire un queue de poisson,10
ramener son fraise,9
vendre le peau de le our avant de le avoir tuer,7
un froid de canard,7
le fin de le haricot,7
"tourner le page,être en train de",6
enfoncer un porte ouvrir,6
sentir le sapin,6
se noyer dans un verre de eau,5
manger sur le pouce,5
se prendre un râteau,5
prendre son clique et son claque,5
aller se faire cuire un œuf,5
ça coûter un bras,5
"péter un câble,être en train de",4
"quand le chat ne être pas là , le souris danser .",4
être rouge comme un tomate,4
jeter le bébé avec le eau de le bain,4
passer de le coq à le âne,4
"petit à petit , le oiseau faire son nid",3
"ça marcher,être en train de",3
recevoir un note salé,3
mettre de le piment dans son vie,3
donner de le confiture à le cochon,3
mettre le charrue avant le boeuf,3
chat échauder craindre le eau froid,3
arriver comme un cheveu sur le soupe,3
être rouge comme un pivoine,3
avoir un poil dans le main,3
qui voler un œuf voler un bœuf,3
être rouge comme un écrevisse,2
changer un crèmerie,2
"pleurer comme un madeleine,être en train de",2
"poser un lapin à quelqu'un,poser un lapin",2
"prendre le tête,être en train de",2
finir en queue de poisson,2
être à le four et à le moulin,2
"être crever,en avoir marre",2
"être crever,crever le dalle",1
"en avoir rien à foutrer,en avoir rien à cirer",1
"un coup de main,être en train de",1
"être en train de,se faire larguer",1
"tenir à le courant,jeter un coup de oeil",1
"avoir le chair de poule,ah le vache",1
ne pas avoir son langue dans son poche,1
"ça marcher,en avoir marre",1
"aller droit à le but,en avoir marre",1
"faire le gras matinée,être en train de",1
un sien valoir mieux que deux il le avoir,1
"ça marcher,il falloir souffrir pour être beau",1
"en avoir marre,tourner le page",1
"être en train de,boire un coup",1
"ça marcher,avoir le pêche",1
"partir en fumée,être en train de",1
plumer quelqu'un,1
"tourner à le vinaigre,être en train de",1
"avoir le cafard,en avoir marre",1
mener quelqu'un en bateau,1
"ça marcher,faire gaffe",1
"faire gaffe,être en train de",1
"en avoir marre,être en train de",1
"ça marcher,tourner le page",1
"coûter le œil de le tête,boire un coup",1
"ça marcher,en avoir rien à foutrer",1
"être crever,être en train de",1
on ne avoir pas élever le cochon ensemble,1
"être canon,être en train de",1
"ça marcher,un coup de main",1
"se envoyer en le air,être en train de",1
"en avoir marre,en avoir rien à foutrer",1
casser de le sucre sur le dos de quelqu'un,1
traîner quelqu'un dans le boue,1
"tenir à le courant,ça marcher",1
"être crever,avoir le dalle",1
